rank_key,headphone,brand,model,variant,type,driver_type,driver_size_mm,impedance_ohms,sensitivity_db_mw,frequency_response_hz,weight_g,cable_detachable,connector,origin,msrp_usd,release_year,notes,source_url
hd 8xx,Drop + Sennheiser HD 8XX,Drop / Sennheiser,HD 8XX,,Open Dynamic,Dynamic,56,300,,"4-51,000 Hz (-10 dB)",330,Yes,"6.35mm (1/4"") TRS (3 m cable)",,,,"THD 0.02% (1 kHz, 1 Vrms); contact pressure ~3.4 N. Specs from Drop listing.",https://drop.com/buy/drop-sennheiser-hd-8xx-headphones
he 6,HIFIMAN HE6,HIFIMAN,HE6,,Open Planar Magnetic,Planar Magnetic,,50,83.5,"8-65,000 Hz",502,,6.35mm plug,,,,Cable length 2 m (per HIFIMAN).,https://www.hifiman.com/products/detail/75
he 6se v2,HIFIMAN HE6se,HIFIMAN,HE6se,V2,Open Planar Magnetic,Planar Magnetic,,50,83.5,"8-65,000 Hz",470,,,,,,Efficiency listed as 83.5 dB (per HIFIMAN HE6se page).,https://hifiman.com/products/detail/294
he 1,Sennheiser HE 1,Sennheiser,HE 1,,Open Electrostatic,Electrostatic,,,,"8-80,000 Hz (-3 dB); 4-100,000 Hz (-10 dB)",550,,9-pin HV connector,,,,"Specs from user manual (ManualsLib): electrostatic push-pull; max SPL 114 dB; THD <0.01% (1 kHz, 100 dB SPL).",https://www.manualslib.com/manual/1209626/Sennheiser-He-1.html
he r10p,HIFIMAN HE-R10P,HIFIMAN,HE-R10P,,Closed Planar Magnetic,Planar Magnetic,,30,100,"10-60,000 Hz",460,,3.5mm balanced (socket at headphone),,,,Specs from HIFIMAN product page.,https://hifiman.com/products/detail/307
he r9,HIFIMAN HE-R9,HIFIMAN,HE-R9,,Closed Dynamic,Dynamic,,60,100,"15-35,000 Hz",328,,,,,,Specs from HIFIMAN product page.,https://www.hifiman.com/products/detail/318
he1000 se,HIFIMAN HE1000se,HIFIMAN,HE1000se,,Open Planar Magnetic,Planar Magnetic,,35,96,"8-65,000 Hz",440,,,,,,Specs from HIFIMAN product page.,https://hifiman.com/products/detail/295
he1000 v2,HIFIMAN HE1000 V2,HIFIMAN,HE1000,V2,Open Planar Magnetic,Planar Magnetic,,35,90,"8-65,000 Hz",420,,,,,,Specs from HIFIMAN product page.,https://www.hifiman.com/products/detail/267
he400se,HIFIMAN HE400se,HIFIMAN,HE400se,,Open Planar Magnetic,Planar Magnetic,,32,91,"20-20,000 Hz",385,,,,,,Specs from HIFIMAN product page.,https://www.hifiman.com/products/detail/310
he560s,HIFIMAN HE560,HIFIMAN,HE560,,Open Planar Magnetic,Planar Magnetic,,45,90,"15-50,000 Hz",375,,,,,,Specs from HIFIMAN product page.,https://www.hifiman.com/products/detail/167
he5xx,Drop + HIFIMAN HE5XX,Drop / HIFIMAN,HE5XX,,Open Planar Magnetic,Planar Magnetic,,18,93.5,"20-35,000 Hz",,,,,,,Specs from Drop listing.,https://drop.com/buy/drop-hifiman-he5xx
heddphone2,HEDDphone TWO,HEDD,HEDDphone TWO,,Open AMT,AMT,,41,88,"10-40,000 Hz",550,Yes,"2x 3.5mm (cup side), 4.4mm balanced (cable end)",,,,Weight is without cable per HEDD. Specs from HEDD product page.,https://hedd.audio/products/heddphone-two
heddphone1,HEDDphone,HEDD,HEDDphone,,Open AMT,AMT,,42,87,"10-40,000 Hz",718,,,,,,Impedance/sensitivity from HEDD page; weight and frequency response taken from Thomann listing (not shown on HEDD page snippet).,https://hedd.audio/pages/heddphone-air-motion-transformer-headphones
hek stealth,HIFIMAN HE1000 Stealth Magnet Version,HIFIMAN,HE1000,Stealth Magnet Version,Open Planar Magnetic,Planar Magnetic,,32,93,"8-65,000 Hz",433,,,,,,Specs from HIFIMAN product page.,https://www.hifiman.com/products/detail/303
hi x 55,Austrian Audio Hi-X55,Austrian Audio,Hi-X55,,Closed Dynamic,Dynamic,,25,,"5-28,000 Hz",305,Yes,"3.5mm (1/8"") (includes 6.3mm adapter)",,,,Sensitivity is 118 dB SPL/V (not dB/mW).,https://austrian.audio/product/hi-x55/
hi x 65,Austrian Audio Hi-X65,Austrian Audio,Hi-X65,,Open Dynamic,Dynamic,,25,,"5-28,000 Hz",310,Yes,"3.5mm (1/8"") (includes 6.3mm adapter)",,,,Sensitivity is 110 dB SPL/V (not dB/mW). Source page lists frequency range as 5kHz-28kHz (likely typo); kept as 5-28k like other Hi-X series.,https://austrian.audio/product/hi-x65/
joker,Moondrop Joker,Moondrop,Joker,,Closed Dynamic,Dynamic,50,68,,"20-20,000 Hz",290,Yes,Dual 3.5mm TRS (cup side),,,,Sensitivity given as 106 dB/V @ 1kHz (not dB/mW).,https://www.headphonesty.com/2023/09/review-moondrop-joker/
helios,HarmonicDyne Helios,HarmonicDyne,Helios,,Open Dynamic,Dynamic,50,16,,"10-40,000 Hz",360,,3.5mm plug (2 m cable),,,,Specs mostly from Drop listing; frequency response from Headphonesty review.,https://drop.com/buy/harmonicdyne-helios-headphones
k612,AKG K612 PRO,AKG,K612 PRO,,Open Dynamic,Dynamic,,120,,"12-39,500 Hz",238,No,"3.5mm (1/8"") + 6.35mm adapter",,,,Sensitivity unit not confirmed as dB/mW (Thomann lists 101 dB without unit).,https://www.thomannmusic.com/akg_k_612_pro.htm
k701,AKG K701,AKG,K701,,Open Dynamic,Dynamic,45,62,,"10-39,800 Hz",235,No,3.5mm + 6.3mm adapter,,,,Sensitivity is 105 dB/V (not dB/mW) per retailer listing.,https://audio46.com/products/akg-k701-open-back-over-ear-studio-headphones
k702,AKG K702,AKG,K702,,Open Dynamic,Dynamic,45,62,,"10-39,800 Hz",235,Yes,3-pin mini XLR (headphone side),,,,Sensitivity is 105 dB SPL/V (not dB/mW) per AKG page.,https://www.akg.com/Headphones/Professional%20Headphones/K702.html
k712,AKG K712 PRO,AKG,K712 PRO,,Open Dynamic,Dynamic,45,62,,"10-39,800 Hz",235,Yes,3-pin mini XLR (headphone side),,,,Sensitivity is 105 dB SPL/V (not dB/mW) per AKG page.,https://www.akg.com/Headphones/Professional%20Headphones/K712PRO.html
k7xx,Massdrop x AKG K7XX,Drop / AKG,K7XX,,Open Dynamic,Dynamic,45,62,,"10-39,800 Hz",235,Yes,3-pin mini XLR (headphone side); 3.5mm plug + 6.35mm adapter,,,,Sensitivity is 105 dB SPL/V (not dB/mW) per Drop listing.,https://drop.com/buy/massdrop-akg-k7xx-red-headphones
kph30i,Koss KPH30i,Koss,KPH30i,,Open Dynamic,Dynamic,,60,101,"15-25,000 Hz",,,"3.5mm (1/8"") plug",,,,Cord length 1.2 m (4 ft).,https://koss.com/products/kph30i
ksc75,Koss KSC75,Koss,KSC75,,Open Dynamic,Dynamic,,60,101,"15-25,000 Hz",,,"3.5mm (1/8"") plug",,,,Cord length 1.2 m (4 ft).,https://koss.com/products/ksc75
l700,STAX SR-L700,STAX,SR-L700,,Open Electrostatic,Electrostatic,,,,"7-41,000 Hz",508,,,,,,Electrostatic earspeaker; sensitivity is 101 dB/100V rms @ 1kHz (not dB/mW); capacitance 110 pF; impedance 145k ohms @10kHz; bias 580V DC.,https://stax.jp/archives/4005
lcd 1,Audeze LCD-1,Audeze,LCD-1,,Open Planar Magnetic,Planar Magnetic,,16,99,"10-50,000 Hz",250,,,,,,Sensitivity specified as 99 dB/1mW (at Drum Reference Point).,https://www.audeze.com/products/lcd-1
lcd 2 classic,Audeze LCD-2 Classic,Audeze,LCD-2,Classic,Open Planar Magnetic,Planar Magnetic,,70,101,"10-50,000 Hz",544,,,,,,Sensitivity specified as 101 dB/1mW (at Drum Reference Point).,https://www.audeze.com/products/lcd-2-classic
lcd 2 closed,Audeze LCD-2 Closed-Back,Audeze,LCD-2,Closed-Back,Closed Planar Magnetic,Planar Magnetic,106,70,101,"10-50,000 Hz",612,Yes,Dual 4-pin mini-XLR (cup side); included 4-pin XLR cable + 6.35mm adapter,,,,Phase management: Non-Fazor.,https://www.audeze.com/products/lcd-2-closed-back
lcd 2f,Audeze LCD-2,Audeze,LCD-2,Fazor,Open Planar Magnetic,Planar Magnetic,106,70,101,"10-50,000 Hz",595,Yes,Dual 4-pin mini-XLR (cup side); included 4-pin XLR cable + 6.35mm adapter,,,,This entry corresponds to LCD-2 with Fazor waveguides (current LCD-2 page).,https://www.audeze.com/collections/audiophile/products/lcd-2
lcd 3f,Audeze LCD-3,Audeze,LCD-3,Fazor,Open Planar Magnetic,Planar Magnetic,106,110,101,"10-50,000 Hz",635,Yes,Dual 4-pin mini-XLR (cup side); included 4-pin XLR cable + 6.35mm adapter,,,,Audeze page lists phase management: Fazor.,https://www.audeze.com/products/lcd-collection/lcd-3
lcd 4,Audeze LCD-4,Audeze,LCD-4,,Open Planar Magnetic,Planar Magnetic,106,200,97,"5-50,000 Hz",690,Yes,Dual 4-pin mini-XLR (cup side); included cable terminates 6.35mm,,,,Flagship series; Audeze page lists Double Fluxor magnet array and Fazor.,https://www.audeze.com/collections/all-headphone-skus/products/lcd-4
lcd 5,Audeze LCD-5,Audeze,LCD-5,,Open Planar Magnetic,Planar Magnetic,90,14,90,"5-50,000 Hz",420,Yes,Dual 4-pin mini-XLR (cup side); included 4-pin XLR cable + 6.35mm adapter,,,,Audeze page lists transducer size 90 mm.,https://www.audeze.com/products/lcd-5
lcd gx,Audeze LCD-GX,Audeze,LCD-GX,,Open Planar Magnetic,Planar Magnetic,106,20,100,"10-50,000 Hz",454,Yes,"1/8"" TRRS (mic cable) and 1/4"" TRS (non-mic cable) included",,,,Gaming headset variant; includes mic cable and standard cable.,https://www.audeze.com/products/lcd-gx
lcd x,Audeze LCD-X,Audeze,LCD-X,,Open Planar Magnetic,Planar Magnetic,106,20,103,"10-50,000 Hz",612,Yes,4-pin XLR cable + 6.35mm adapter (included),,,,Audeze page lists cable length 1.9 m.,https://www.audeze.com/products/lcd-x
lcd xc,Audeze LCD-XC,Audeze,LCD-XC,,Closed Planar Magnetic,Planar Magnetic,106,20,100,"10-50,000 Hz",677,Yes,4-pin XLR cable + 6.35mm adapter (included),,,,Closed-back version of LCD-X; Fazor.,https://www.audeze.com/products/lcd-xc
liric,Meze Audio Liric,Meze,Liric,,Closed Planar Magnetic,Planar Magnetic,,61,100,"4-92,000 Hz",427,Yes,Dual 3.5 mm TS Jack,,,,Driver is 92 x 63 mm (ovoid) Rinaro Isodynamic Hybrid Array MZ4 (not a single diameter).,https://mezeaudio.com/products/liric
m1st,Sony MDR-M1ST,Sony,MDR-M1ST,,Closed Dynamic,Dynamic,40,24,103,"5-80,000 Hz",215,Yes,"Stereo standard plug (6.35mm), cable ~2.5 m",,,,Specs from Sound House listing (Japanese pro audio retailer).,https://www.soundhouse.co.jp/en/products/detail/item/265664/
m40x,Audio-Technica ATH-M40x,Audio-Technica,ATH-M40x,,Closed Dynamic,Dynamic,40,35,98,"15-24,000 Hz",241,Yes,3.5mm TRS (includes 6.35mm adapter),,,,Specs from B&H listing; sensitivity unit not explicitly stated as dB/mW.,https://www.bhphotovideo.com/c/product/1024221-REG/audio_technica_ath_m40x_closed_back_professional_studio.html/overview
m50x,Audio-Technica ATH-M50x,Audio-Technica,ATH-M50x,,Closed Dynamic,Dynamic,45,38,99,"15-28,000 Hz",285,Yes,3.5mm TRS (includes 6.35mm adapter),,,,Specs from Audio-Technica Japan spec table (ATH-M50xSTS headphones section matches ATH-M50x).,https://www.audio-technica.co.jp/document/ATH-M50xSTS/en/Content/Wired/ATH-M50xSTS/specifications/spec-headphones.html
mdr 7506,Sony MDR-7506,Sony,MDR-7506,,Closed Dynamic,Dynamic,40,63,106,"10-20,000 Hz",230,No,"3.5mm TRS (1/4"" adapter included)",,,,Specs from B&H specs table.,https://www.bhphotovideo.com/c/product/803267160-USE/sony_mdr_7506_headphones.html/specs
mdr z1r,Sony MDR-Z1R,Sony,MDR-Z1R,,Closed Dynamic,Dynamic,70,64,100,"4-120,000 Hz",385,Yes,Gold-plated stereo mini plug; balanced standard plug (included cables),,,,Weight is without cable; detachable Y-type. Specs from Sony support page.,https://www.sony.co.id/en/electronics/support/wired-headphones-headband/mdr-z1r/specifications
meze 109 pro,Meze Audio 109 PRO,Meze,109 PRO,,Open Dynamic,Dynamic,50,40,112,"5-30,000 Hz",375,Yes,dual 3.5 mm TS Jack,,,,THD <0.1% at 1 kHz.,https://mezeaudio.com/products/109-pro
mm100,Audeze MM-100,Audeze,MM-100,,Open Planar Magnetic,Planar Magnetic,90,18,98,"20-25,000 Hz",475,Yes,"3.5mm TRS to 1/4"" TRS (2.5m cable)",,,,Specs from Audeze product page; Fluxor + Fazor; max power 5W RMS.,https://www.audeze.com/products/mm-100
moondrop venus,Moondrop Venus,Moondrop,Venus,,Open Planar Magnetic,Planar Magnetic,,18,,"20-20,000 Hz",550,Yes,Cup: dual 3.5mm; cable terminations 3.5mm / 4.4mm (per review),,,,Sensitivity on source is 100 dB/Vrms @1kHz (not dB/mW). Spec source is a review (Headphonesty).,https://www.headphonesty.com/2023/01/review-moondrop-venus/
mv1,Sony MDR-MV1,Sony,MDR-MV1,,Open Dynamic,Dynamic,40,24,100,"5-80,000 Hz",223,Yes,Stereo phone plug (via adapter to stereo mini plug) per Sony spec page,,,,Weight is without cable; cable length ~2.5 m.,https://www.sony.co.in/electronics/support/wired-headphones-headband/mdr-mv1/specifications
ndh 20,Neumann NDH 20,Neumann,NDH 20,,Closed Dynamic,Dynamic,38,150,,"5-30,000 Hz",390,Yes,3.5 mm TRS (adapter 6.3 mm),,,,"Sensitivity is 114 dB SPL (1 kHz, 1 Vrms) (not dB/mW).",https://www.neumann.com/en-at/products/headphones/ndh-20
porta pro,Koss Porta Pro,Koss,Porta Pro,,Open Dynamic,Dynamic,,60,101,"15-25,000 Hz",,No,3.5mm,,,,"Cable: straight, dual entry, 4 ft.",https://koss.com/products/porta-pro
ndh 30,Neumann NDH 30,Neumann,NDH 30,,Open Dynamic,Dynamic,38,120,,"12-34,000 Hz",352,Yes,3.5 mm TRS (adapter 6.3 mm),,,,Sensitivity is 104 dB SPL at 1 kHz/1 Vrms (not dB/mW).,https://www.neumann.com/en-li/products/headphones/ndh-30/
sundara,HIFIMAN Sundara,HIFIMAN,Sundara,,Open Planar Magnetic,Planar Magnetic,,32,92,"6-75,000 Hz",342,,,,,,Specs from HIFIMAN product page.,https://hifiman.com/products/detail/286
stellia,Focal Stellia,Focal,Stellia,,Closed Dynamic,Dynamic,40,35,,"5-23,000 Hz",435,Yes,3.5mm (1.2m cable); 4-pin XLR (3m cable); 3.5->6.35 adapter,France,,,Max SPL 106 dB SPL (peak@1m). Sensitivity not listed as dB/mW on Focal page.,https://www.focal.com/index.php/products/stellia
shp 9500,Philips SHP9500,Philips,SHP9500,,Open Dynamic,Dynamic,50,32,101,"12-35,000 Hz",,Yes,"3.5mm TRS (1/4"" adapter included)",,,,Specs from B&H specs table.,https://www.bhphotovideo.com/c/product/1569207-REG/philips_shp9500_00_hifi_stereo_headphones.html
shp 9600,Philips SHP9600,Philips,SHP9600,,Open Dynamic,Dynamic,50,32,,"6-35,000 Hz",,Yes,3.5 mm,,,,Sensitivity on Philips page is 102 dB (1K Hz) (unit not specified as dB/mW).,https://www.usa.philips.com/c-p/SHP9600_00/over-ear-headphones
shp9600,Philips SHP9600,Philips,SHP9600,,Open Dynamic,Dynamic,50,32,,"6-35,000 Hz",,Yes,3.5 mm,,,,Sensitivity on Philips page is 102 dB (1K Hz) (unit not specified as dB/mW).,https://www.usa.philips.com/c-p/SHP9600_00/over-ear-headphones
susvara,HIFIMAN Susvara,HIFIMAN,Susvara,,Open Planar Magnetic,Planar Magnetic,,60,83,,450,,,,,,Specs from HeadAmp listing (manufacturer specs not found quickly).,https://www.headamp.com/products/hifiman-susvara
sundara closed,HIFIMAN Sundara Closed-Back,HIFIMAN,Sundara,Closed-Back,Closed Planar Magnetic,Planar Magnetic,,20,,"6-50,000 Hz",432,,,,,,Sensitivity listed as 98 dB (unit not specified as dB/mW) on HIFIMAN page.,https://www.hifiman.com/products/detail/324
t1 gen 3,beyerdynamic T1 (3rd generation),beyerdynamic,T1,3rd generation,Open Dynamic,Dynamic,,32,100,"5-50,000 Hz",360,Yes,3.5mm gold-plated mini stereo jack + 6.35mm adapter,Germany,,,Nominal SPL 100 dB (1mW).,https://www.beyerdynamicstores.com/products/t1
t50rp,Fostex T50RP,Fostex,T50RP,,Semi-Open Planar Magnetic,Planar Magnetic,,50,98,"15-35,000 Hz",330,Yes,Stereo standard plug (single-sided 3m cable),,,,"Fostex page notes ""discontinued""; damping semi-open housing.",https://www.fostex.jp/en/products/t50rp/
t5p,beyerdynamic T5 (3rd generation),beyerdynamic,T5,3rd generation,Closed Dynamic,Dynamic,,32,100,"5-50,000 Hz",360,Yes,3.5mm jack + 6.35mm adapter,Germany,,,Nominal SPL 100 dB (1mW).,https://north-america.beyerdynamic.com/p/t5
tygr300r,beyerdynamic TYGR 300 R,beyerdynamic,TYGR 300 R,,Open Dynamic,Dynamic,,32,96,"5-35,000 Hz",290,No,3.5mm jack + 6.35mm adapter,Germany,,,Fixed 1.6 m straight cable.,https://north-america.beyerdynamic.com/p/tygr-300-r
th900,Fostex TH-900 MK2,Fostex,TH-900 MK2,,Closed Dynamic,Dynamic,50,25,100,"5-45,000 Hz",390,Yes,"1/4"" TRS",,,,Specs from B&H specs table.,https://www.bhphotovideo.com/c/product/1762575-REG/fostex_th_900mk2_ob_th900mk2_premium_reference_headphones.html
sr 80x,Grado SR80x,Grado,SR80x,,Open Air,Dynamic,,38,98,"20-20,000 Hz",,,,USA,,,Driver matched dB: 0.1; operating principle: open air.,https://gradolabs.com/products/sr80x
sr225x,Grado SR225x,Grado,SR225x,,Open Air,Dynamic,,38,98,"20-22,000 Hz",,,,USA,,,Driver matched dB: 0.05; operating principle: open air.,https://gradolabs.com/products/sr225x
srh 1540,Shure SRH1540,Shure,SRH1540,,Closed Dynamic,Dynamic,40,46,99,"5-25,000 Hz",286,Yes,"3.5mm TRS (1/4"" adapter)",,,,Specs from B&H specs table.,https://www.bhphotovideo.com/c/product/1594648-REG/shure_srh1540_bk_srh1540_premium_closed_back_headphones.html/specs
srh 1840,Shure SRH1840,Shure,SRH1840,,Open Dynamic,Dynamic,,65,,"10-30,000 Hz",269,Yes,3.5mm (screw-on 6.3mm adapter),,,,Sensitivity on source is 96 dB (unit not specified as dB/mW). Specs from Thomann listing.,https://www.thomannmusic.com/shure_srh1840.htm
utopia,Focal Utopia,Focal,Utopia,,Open Dynamic,Dynamic,40,80,104,"5-50,000 Hz",490,,,France,,,Sensitivity 104 dB SPL / 1 mW @ 1 kHz.,https://www.focal.com/products/utopia
utwopia,Focal Utopia,Focal,Utopia,(rank_key typo: utwopia),Open Dynamic,Dynamic,40,80,104,"5-50,000 Hz",490,,,France,,,Rank key appears to be a typo; using same specs as Utopia.,https://www.focal.com/products/utopia
zx110,Sony MDR-ZX110,Sony,MDR-ZX110,,Closed Dynamic,Dynamic,30,24,98,"12-22,000 Hz",120,No,Gold-plated L-shaped stereo mini plug,,,,Cord length approx. 1.2 m.,https://www.sony.com.ph/electronics/headband-headphones/mdr-zx110
v6,Sony MDR-V6,Sony,MDR-V6,,Closed Dynamic,Dynamic,,63,106,"5-30,000 Hz",,,,,,,Specs from FocusCamera listing.,https://www.focuscamera.com/sony-mdr-v6-professional-monitor-headphone.html
x3,Philips Fidelio X3,Philips,Fidelio X3,,Open Dynamic,Dynamic,50,30,100,"5-40,000 Hz",,,,,,,Specs from Philips product page.,https://www.usa.philips.com/c-p/X3_00/fidelio-fidelio-wired-over-ear-open-back-headphones
x9000,STAX SR-X9000,STAX,SR-X9000,,Open Electrostatic,Electrostatic,,,,"5-42,000 Hz",390,,,,,,Stax earspeaker; bias 580V DC; sensitivity 101 dB/100V rms @1kHz; capacitance 110 pF; impedance 145k ohms @10kHz (including cable).,https://stax.jp/archives/6997
sr 009s,STAX SR-009S,STAX,SR-009S,,Open Electrostatic,Electrostatic,,,,"5-42,000 Hz",454,,,,,,Stax earspeaker; bias 580V DC; sensitivity 101 dB/100V rms @1kHz; capacitance 110 pF; impedance 145k ohms @10kHz (including cable).,https://stax.jp/archives/5050
sr 007,STAX SR-007MK2,STAX,SR-007,MK2,Open Electrostatic,Electrostatic,,,,"6-41,000 Hz",365,,,,,,Stax earspeaker; bias 580V DC; capacitance 110 pF; impedance 145k ohms @10kHz (including cable).,https://stax.jp/archives/4214
stax l300,STAX SR-L300,STAX,SR-L300,,Open Electrostatic,Electrostatic,,,,"7-41,000 Hz",470,,,,,,Stax earspeaker; bias 580V DC; sensitivity 101 dB/100V rms @1kHz; capacitance 110 pF; impedance 145k ohms @10kHz (including cable).,https://stax.jp/archives/3986
stax l500,STAX SR-L500,STAX,SR-L500,,Open Electrostatic,Electrostatic,,,,"7-41,000 Hz",500,,,,,,Stax earspeaker; bias 580V DC; sensitivity 101 dB/100V rms @1kHz; capacitance 110 pF; impedance 145k ohms @10kHz (including cable).,https://stax.jp/archives/3989
verite,ZMF Verite,ZMF,Verite,,Open Dynamic,Dynamic,,300,99,"10-25,000 Hz",455,Yes,,,,,Specs from ZMF store page.,https://shop.zmfheadphones.com/products/verite
verite closed,ZMF Verite Closed,ZMF,Verite,Closed,Closed Dynamic,Dynamic,,300,99,"10-25,000 Hz",480,Yes,,,,,Specs from ZMF store page.,https://shop.zmfheadphones.com/products/verite-closed
srh 840,Shure SRH840,Shure,SRH840,,Closed Dynamic,Dynamic,,44,102,"5-25,000 Hz",365,,,,,,,https://www.shure.com/en-US/products/headphones/srh840
srh 840a,Shure SRH840A,Shure,SRH840A,,Closed Dynamic,Dynamic,,40,97,"5-25,000 Hz",273,,,,,,,https://www.shure.com/en-US/products/headphones/srh840a
shang jr,HIFIMAN SHANGRI-LA Jr,HIFIMAN,SHANGRI-LA Jr,,Open Electrostatic,Electrostatic,,32,,"7-120,000 Hz",404,,,,,,Sensitivity unit not specified as dB/mW on HIFIMAN page (101 dB).,https://www.hifiman.com/products/detail/321
shangri la sr,HIFIMAN Shangri-La Sr,HIFIMAN,Shangri-La Sr,,Open Electrostatic,Electrostatic,,,,"7-120,000 Hz",,,,,,,Specs from HeadAmp listing.,https://www.headamp.com/products/hifiman-shangri-la-sr
sr1a,RAAL-requisite SR1a,RAAL-requisite,SR1a,,Open Ribbon,Ribbon,,,,,,,,,,,Requires interface/amp; manufacturer page does not present standard impedance/sensitivity like typical headphones.,https://raalrequisite.com/products/sr1a-earfield-monitors
t60rp,Fostex T60RP,Fostex,T60RP,,Semi-Open Planar Magnetic,Planar Magnetic,,50,92,"15-35,000 Hz",380,Yes,3.5mm stereo phone plug,,,,Specs from Fostex International product page.,https://fostexinternational.com/docs/products/T60RP.shtml
th909,Fostex TH909,Fostex,TH909,,Open Dynamic,Dynamic,50,25,100,"5-45,000 Hz",390,Yes,"1/4"" stereo phone plug",,,,Specs from Fostex International product page.,https://fostexinternational.com/docs/products/TH909.shtml
voce,Dan Clark Audio VOCE,Dan Clark Audio,VOCE,,Open Electrostatic,Electrostatic,,,,,330,,,,,,Details are sparse on archive page; weight taken from DCA archive snippet.,https://danclarkaudio.com/voce.html
peacock,Sendy Audio Peacock,Sendy Audio,Peacock,,Open Planar Magnetic,Planar Magnetic,,50,,"20-40,000 Hz",578,,,,,,Specs from HeadAmp listing; sensitivity unit not specified as dB/mW.,https://www.headamp.com/products/sendy-audio-peacock
mx 4,Audeze LCD-MX4,Audeze,LCD-MX4,,Open Planar Magnetic,Planar Magnetic,106,20,105,"10-50,000 Hz",575,Yes,"1/4"" TRS (6.3mm); dual 4-pin mini-XLR cup connectors",,,,Specs from B&H specs table; Audeze lists additional details (Fluxor/Fazor/etc.) on various reseller pages.,https://www.bhphotovideo.com/c/product/1806697-REG/audeze_100_mx_1015_01_lcd_mx4_headphones.html
para,MOONDROP PARA,Moondrop,PARA,,Open Planar Magnetic,Planar Magnetic,,8,,"15-53,000 Hz",,Yes,3.5mm,,,,Sensitivity is 101 dB/Vrms @1kHz (not dB/mW).,https://moondroplab.com/en/products/para
pfr v1,Sony PFR-V1,Sony,PFR-V1,,Open Air,Dynamic,,16,93,"35-25,000 Hz",93,,,,,,Head-mounted open-air stereo system; battery powered (2x AAA).,https://www.sony-asia.com/electronics/support/wired-headphones-in-ear/pfr-v1/specifications
poseidon,HarmonicDyne Poseidon,HarmonicDyne,Poseidon,,Open Dynamic,Dynamic,50,64,,"10-40,000 Hz",380,Yes,4-pin XLR; cup: dual 3.5mm,,,,Specs from Headphonesty review.,https://www.headphonesty.com/2021/10/review-harmonicdyne-poseidon/
purpleheart,Massdrop x Fostex TR-X00 Purpleheart,Drop / Fostex,TR-X00,Purpleheart,Closed Dynamic,Dynamic,50,25,94,"5-45,000 Hz",385,Yes,"1/4"" (6.3mm) stereo phone plug",,,,Weight is without cable (with cable: 517 g). Specs from Drop.,https://drop.com/buy/massdrop-fostex-tr-x00-purpleheart-headphones
s4x,OLLO Audio S4X,OLLO Audio,S4X,,Open Dynamic,Dynamic,50,32,,"20-20,000 Hz",350,Yes,3.5mm to dual 2.5mm cup connectors (detachable cable),,,,Sensitivity is given as 109 dB SPL @1Vrms @1kHz (not dB/mW).,https://olloaudio.com/products/s4x-reference-headphones
twin pulse,Spirit Torino Twin Pulse,Spirit Torino,Twin Pulse,,Open Dynamic,Dynamic,,64,,"24-28,000 Hz",540,No,,,,,Specs from HeadAmp listing.,https://www.headamp.com/products/spirit-twin-pulse
valkyria,Spirit Torino Valkyria Titanium,Spirit Torino,Valkyria,Titanium,Open Dynamic,Dynamic,,64,96,"18-35,000 Hz",620,No,,,,,Specs from Spirit Torino product page.,https://www.spirittorino.com/en-us/products/valkyria-titanium
tr x00 ebony,Massdrop x Fostex TR-X00 Ebony,Drop / Fostex,TR-X00,Ebony,Closed Dynamic,Dynamic,50,25,94,"5-45,000 Hz",450,Yes,"1/4"" (6.3mm) stereo phone plug",,,,Weight is without cable (with cable: 582 g). Specs from Drop.,https://drop.com/buy/massdrop-fostex-tr-x00-ebony-headphones
zeus,HarmonicDyne Zeus,HarmonicDyne,Zeus,,Open Dynamic,Dynamic,50,64,,,380,Yes,Dual 3.5mm (cup side),,,,SPL listed as 100+3dB (unit not specified as dB/mW) on Linsoul listing.,https://www.linsoul.com/products/harmonicdyne-zeus
void,Corsair VOID PRO Stereo,Corsair,VOID PRO,,Closed Dynamic,Dynamic,50,32000,,"20-20,000 Hz",380,No,3.5mm analog,,,,Gaming headset. Corsair lists impedance as 32k ohms @1kHz; sensitivity unit not specified as dB/mW.,https://www.corsair.com/us/en/p/gaming-headsets/ca-9011187-na/void-pro-stereo-premium-gaming-headset-carbon-ca-9011187-na
